leaf_rate,stem_rate,root_rate,sr,time,speed,water,nitrate,leaf_mass,stem_mass,root_mass,starch_mass
0.0,0.0,0.0844377191459606,0.0,250414485,2400,24941930.306139752,73363.5909202413,1,1.0,5.617873349470538,25306.839999998432
0.0,0.0,0.0844377191459606,0.0,252793876,2400,25016930.306139756,73086.71399362535,1,1.0,5.660795617595535,24592.59999999844
0.0,0.0,0.0844377191459606,0.0,255247698,2400,28058930.306139756,72802.02199246788,1,1.0,5.70492940135309,23858.199999998436
0.0,0.0,0.0844377191459606,0.0,257598277,2400,30395930.306139756,72528.49438351269,1,1.0,5.7473324484927,23152.599999998427
0.0,0.0,0.0844377191459606,0.0,260013683,2400,33254930.306139752,72248.26813923614,1,1.0,5.790773937603077,22429.71999999842
0.0,0.0,0.0844377191459606,0.0,262436292,2400,33254930.306139756,71966.36723612927,1,1.0,5.834475037206144,21702.519999998407
0.0,0.0,0.0844377191459606,0.0,264849297,2400,33254930.306139752,71685.58277224263,1,1.0,5.878003063147415,20978.199999998396
0.0,0.0,0.0844377191459606,0.0,267231089,2400,33254930.306139752,71408.98495543178,1,1.0,5.920882062856963,20264.679999998396
0.0,0.0,0.0844377191459606,0.0,269605678,2400,33254930.306139756,96082.66624842597,1,1.0,5.963717794151061,19551.879999998397
0.0,0.0,0.0844377191459606,0.0,272035490,2400,33254930.306139752,121449.92801590385,1,1.0,6.007548699000478,18822.519999998407
0.0,0.0,0.0844377191459606,0.0,274446094,2400,33254930.306139752,121169.98088143235,1,1.0,6.050946919695404,18100.3599999984
0.0,0.0,0.0844377191459606,0.0,276856698,2400,33254930.306139752,120890.03374696085,1,1.0,6.094345140390333,17378.199999998393
0.0,0.0,0.0844377191459606,0.0,279226485,2400,33254930.306139756,120614.27325956519,1,1.0,6.137094334853533,16666.83999999839
0.0,0.0,0.0844377191459606,0.0,281651495,2400,33254930.306139752,120332.93057606841,1,1.0,6.1807088976257045,15941.079999998388
0.0,0.0,0.0844377191459606,0.0,284057297,2400,33254930.30613975,120052.98344159692,1,1.0,6.224107118320632,15218.919999998394
0.0,0.0,0.0844377191459606,0.0,286448693,2400,33254930.306139756,119774.9900757608,1,1.0,6.267202460107425,14501.799999998395
0.0,0.0,0.0009659285270690275,620.7598391637279,289046575,2400,33254930.306139752,119494.76383148423,1,1.0,6.310643949217804,13778.919999998398
0.0,0.0,0.001150148346218068,739.1498256907095,291245891,2400,33254930.306139752,119491.61564458541,1,1.0,6.311131990326269,13681.069201413835
0.0,0.0,0.0003685278839470997,236.83668465669234,293673302,2400,33254930.306139752,119487.81001480733,1,1.0,6.311721950146017,13700.238176930237
0.0,0.0,0.0005709143153838426,366.90155499322725,296028683,2400,33254930.306139752,119486.59306002532,1,1.0,6.311910606023165,13936.838024902248
0.0,0.0,0.0179357213960726,11526.500374613961,318947282,38400,33254930.306139752,119469.02734198271,1,1.0,6.312202574504994,14303.005776785498
0.0,0.0,0.00045866128462163417,294.7614624617125,327583485,2400,33254930.306139752,119454.85040424152,1,1.0,6.321448519967513,25898.665153647155
0.0,0.0,0.0002477041615793734,159.18858506930655,329996490,2400,33254930.306139745,119453.3282299043,1,1.0,6.321684491869679,26194.60566195871
0.0,0.0,2.957718389663581e-05,19.007957011377894,332404693,2400,33254930.306139752,119452.50698471998,1,1.0,6.321811803691698,26354.27181278322
0.0,0.0,0.0,0.0,334781683,2400,33254930.306139752,119452.41009692401,1,1.0,6.321826823520183,26373.108698181495
0.0,0.0,0.0,0.0,337482808,2400,33254930.30613975,119452.41009692401,1,1.0,6.295904390291374,26373.108698181495
0.0,0.0,0.08443457946497092,0.02484354908900769,339903016,2400,33254930.306139752,119452.41009692401,1,1.0,6.270268774412573,26373.108698181495
0.0,0.0,1.3509532714395347,0.39749678542412303,347303094,38400,33254930.30613975,118606.73883370061,1,1.0,6.313102912928786,25660.333293295083
