time,temperature,sun_intensity,humidity,precipitation,accessible_water,accessible_nitrate,leaf_biomass,stem_biomass,root_biomass,seed_biomass,starch_pool,max_starch_pool,water_pool,max_water_pool,leaf_percent,stem_percent,root_percent,seed_percent,starch_percent,action,reward
391800,-0.6083999999999996,0.9537169507482269,100.0,0.0,495395.18827634625,19.997576410899335,0.0109761463551571,0.022466839362800008,0.021779393434909717,0,2.2975778909200453,2.6006308330331893,2498.0545437143473,2498.772406794081,0,0,0,0,100,BUY_LEAF,0.0
392400,-1.4908000000000001,0.965925826289069,100.0,0.0,492443.7190306764,19.997576410899335,0.0109761463551571,0.022466839362800008,0.021779393434909717,0,2.2975778909200453,2.6006308330331893,2498.0545437143473,2498.772406794081,0,0,0,0,100,BUY_SEED,0.0
393000,-1.4908000000000001,0.976296007119933,100.0,0.0,489509.2967469403,19.997563555240312,0.010992322067889585,0.022466839362800008,0.021779393434909717,0,2.2971551884226304,2.601379059236211,2498.772406794081,2499.4913273599695,100,0,0,0,-100,GROW_LEAVES,0.00029291951887320215
393600,-1.4908000000000001,0.9848077530122082,100.0,0.0,486592.53584969504,19.99755069958917,0.010992322067889585,0.02250139559081772,0.021779393434909717,0,2.2967630827215144,2.602977497321014,2499.4913273599695,2501.027159716312,0,100,0,0,-100,GROW_STEM,0.0006255816811606599
394200,-1.4908000000000001,0.9914448613738104,100.0,0.0,483694.05024793843,19.99755069958917,0.010992322067889585,0.02250139559081772,0.021779393434909717,0,2.2967630827215144,2.602977497321014,2499.4913273599695,2501.027159716312,0,0,0,0,100,PRODUCE_STARCH,0.0
394800,-1.4908000000000001,0.9961946980917458,100.0,0.0,480811.47543477383,19.997537843945892,0.011008521599177926,0.02250139559081772,0.021779393434909717,0,2.296306833901272,2.6037268252787404,2501.027159716312,2501.7471388846825,100,0,0,0,-100,GROW_LEAVES,0.00029308159008643007
395400,-1.4908000000000001,0.9990482215818578,100.0,0.0,477947.0675273508,19.997524988310488,0.011024744993998251,0.02250139559081772,0.021779393434909717,0,2.295850585360369,2.6044772570715944,2501.7471388846825,2502.4681786544747,100,0,0,0,-100,GROW_LEAVES,0.0002934273304723945
396000,-1.4908000000000001,1.0,100.0,0.0,475099.9005053252,19.99751213268295,0.011024744993998251,0.022536004906173718,0.021779393434909717,0,2.295434010194425,2.6060781507723085,2502.4681786544747,2504.006370448075,0,100,0,0,-100,GROW_STEM,0.0006257839467502871
396600,-1.4908000000000001,0.9990482215818578,100.0,0.0,472270.5929171829,19.99751213268295,0.011024744993998251,0.022536004906173718,0.021779393434909717,0,2.295434010194425,2.6060781507723085,2502.4681786544747,2504.006370448075,0,0,0,0,100,BUY_LEAF,0.0
397200,-1.4908000000000001,0.9961946980917453,100.0,0.0,469458.3164585301,19.99751213268295,0.011024744993998251,0.022536004906173718,0.021779393434909717,0,2.295434010194425,2.6060781507723085,2502.4681786544747,2504.006370448075,0,0,0,0,100,BUY_ROOT,0.0
