Time,,,Percentage Sliders,,,,,Intake,Mikromol/Second,,,Masses,gramm DW,,,Pools,Mikromol,,Rates,MirkoMol/Second,,
Days,Hours,Minutes,Leaf_percentage, Stem_percentage,Root_percentage,Starch_percentage,Seed_percentage,Water_in,Nitrate_in,Starch_in,Photon_in,Leaf_mass,Stem_mass,Root_mass,Seed_mass,Water_pool,Starch_pool,Nitrate_pool,Leaf_rate,Stem_rate,Root_rate,Seed_rate
3,9,0,0.0,0.0,100.0,-100.0,0,50492.339866301074,2.802743670403072,0.9,0.0,1,1.0,3.1354901630823986,0,1059354.901630824,722881.9360000007,90617.33315560498,0.0,0.0,0.036486355244308086,0
3,9,4,0.0,0.0,100.0,-100.0,0,50232.328062684624,2.8115663031747973,0.9,0.0,1,1.0,3.145417101711831,0,1059454.1710171183,722674.1440000006,90578.7230277264,0.0,0.0,0.03637120428098282,0
3,9,8,0.0,0.0,100.0,-100.0,0,50019.81690330961,2.820900097688898,0.9,0.0,1,1.0,3.1559196141830173,0,1059559.1961418302,722453.6080000006,90537.87424597245,0.0,0.0,0.036250165384796654,0
3,9,12,0.0,0.0,100.0,-100.0,0,49714.289949989616,2.8299111916081667,0.9,0.0,1,1.0,3.1660591031404177,0,1059660.5910314042,722239.9840000005,90498.43741857959,0.0,0.0,0.03613407211564113,0
3,9,16,0.0,0.0,100.0,-100.0,0,49436.293172922335,2.8393289598178324,0.9,4.276199344354379,1,1.0,3.1766566524515514,0,1059766.5665245156,722015.9920000006,90457.21899773744,0.0,0.0,0.04092673458042415,0
3,9,20,0.0,0.0,100.0,-100.0,0,49163.12850297037,2.8497193773566107,0.9,4.6025954355801435,1,1.0,3.188347291491699,0,1059883.472914917,721797.8320000005,90411.74908146495,0.0,0.0,0.041150312459950295,0
3,9,24,0.0,0.0,100.0,-100.0,0,48912.70835569734,2.8596875257950636,0.9,4.912818055777723,1,1.0,3.1995664414716436,0,1059995.6644147164,721589.6080000006,90368.11298864875,0.0,0.0,0.041359903668908855,0
3,9,28,0.0,0.0,100.0,-100.0,0,48679.21504149119,2.8703298658138925,0.9,5.237557124601969,1,1.0,3.2115445779716576,0,1060115.4457797166,721368.4240000008,90321.52487127681,0.0,0.0,0.041574704086983987,0
3,9,32,0.0,0.0,100.0,-100.0,0,48443.04081306502,2.880369592093662,0.9,5.542570618422931,1,1.0,3.2228441589042025,0,1060228.441589042,721160.848000001,90277.57594794144,0.0,0.0,0.04177436721729394,0
3,9,36,0.0,0.0,100.0,-100.0,0,48172.23261900465,2.8914960789197557,0.9,5.87721520698073,1,1.0,3.2353676533652265,0,1060353.6765336522,720931.8880000011,90228.86669923177,0.0,0.0,0.04199018457616683,0
3,9,40,0.0,0.0,100.0,-100.0,0,47889.97589713288,2.901666781563764,0.9,6.180082500904608,1,1.0,3.246815784625568,0,1060468.1578462557,720723.6640000012,90184.33999987031,0.0,0.0,0.04218259382602299,0
